                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4077,                 2.1001,                 3.2129,                 1.2993,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00064957,             0.00064957,             0.00064957
                      1,                  1.305,                 1.9897,                 1.1767,                 1.2066,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.44225,                 2.3069,                  21834,                  1.001,              0.0013032,              0.0013032,              0.0013032
                      2,                 1.3833,                 1.6585,                 1.1577,                 1.2522,                0.00019,                 0.0625,                 0.0001,                  1e-05,                0.00073,                0.23958,                 0.0005,                  9e-05,                 3.8085,                  63.87,                    inf,                 119.39,              0.0019436,              0.0019436,              0.0019436
                      3,                  1.356,                 1.5501,                0.96981,                 1.2278,                0.94701,                0.97917,                0.96825,                0.67328,                0.94701,                0.97917,                0.96825,                 0.6423,                 1.0649,                 1.5653,                 1.3429,                 1.2768,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.3111,                 1.4653,                0.87919,                 1.2174,                0.94701,                0.97917,                0.96825,                0.67328,                0.94701,                0.97917,                0.96825,                 0.6423,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3311,                 1.6374,                0.93769,                 1.1971,                0.81647,                0.60245,                0.69675,                0.51816,                0.81647,                0.60245,                0.69675,                0.50514,                 1.1743,                 1.4883,                 1.2622,                 1.2913,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2405,                 1.3919,                0.83077,                 1.1814,                  0.958,                0.98958,                0.96564,                0.66506,                  0.958,                0.98958,                0.96564,                0.65508,                 1.1414,                 1.3733,                0.64149,                 1.3052,               0.001901,               0.001901,               0.001901
                      7,                 1.2675,                  1.446,                0.76987,                 1.1809,                 0.9446,                      1,                0.98444,                0.64852,                0.93476,                0.98958,                0.97983,                0.68483,                 1.1538,                 1.1875,                 0.6406,                 1.2665,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2099,                 1.2896,                0.68071,                 1.1381,                0.94918,                0.98958,                0.96152,                0.68199,                0.94918,                0.98958,                0.96152,                 0.6743,                 1.0774,                 1.2537,                0.75267,                 1.2523,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1902,                 1.3346,                0.68863,                 1.1481,                0.94861,                0.98958,                0.97876,                0.70427,                0.94861,                0.98958,                0.97876,                0.71515,                 1.0237,                 1.0909,                0.54033,                 1.1681,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1771,                 1.2941,                0.66289,                 1.1183,                0.94678,                0.98958,                0.95981,                0.64245,                0.94678,                0.98958,                0.95981,                0.64557,                 1.1617,                 1.3424,                0.61956,                 1.2647,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.1461,                 1.2607,                0.62068,                 1.1189,                0.93896,                0.98958,                0.95721,                0.71337,                0.93896,                0.98958,                0.95721,                0.70344,                 1.0049,                 1.1473,                0.53045,                 1.1618,               0.001802,               0.001802,               0.001802
                     12,                 1.1635,                 1.3309,                0.67057,                 1.1235,                0.94952,                0.97978,                0.97254,                0.68504,                0.94952,                0.97978,                0.97254,                0.68643,                 1.0916,                 1.2527,                0.62214,                 1.2331,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1582,                 1.2722,                0.65306,                 1.1151,                0.95352,                0.98958,                0.97856,                0.68372,                0.95352,                0.98958,                0.97856,                0.69282,                 1.0875,                  1.119,                0.56002,                 1.2015,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1278,                 1.2526,                0.66245,                 1.1202,                0.94423,                0.98958,                 0.9797,                0.72168,                0.94423,                0.98958,                 0.9797,                0.70623,                0.97157,                 1.1617,                0.61461,                  1.129,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.128,                 1.3159,                0.62751,                 1.1078,                0.94929,                      1,                0.97992,                0.71466,                0.94929,                      1,                0.97992,                0.71984,                0.98911,                 1.0996,                0.53213,                 1.1453,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1491,                  1.249,                0.61268,                 1.1268,                0.94921,                0.98958,                 0.9852,                0.70745,                0.94921,                0.98958,                 0.9852,                0.70806,                 1.0075,                 1.1448,                0.53082,                 1.1597,               0.001703,               0.001703,               0.001703
